City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Harper,LR,75.51,light rain,4.375,-7.7169,Screensaver
1,Rikitea,PF,70.29,few clouds,-23.1203,-134.9692,People ThankYou
3,Coruripe,BR,74.41,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
5,Sahawar,IN,72.5,overcast clouds,27.8,78.85,कलुआ नगला
6,Port Augusta,AU,69.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
8,Busselton,AU,59.25,broken clouds,-33.65,115.3333,Observatory Guest House
9,Castro,BR,62.64,light rain,-24.7911,-50.0119,CHACARA BAILLY
10,Mayumba,GA,75.4,light rain,-3.432,10.6554,LIKWALE LODGE
16,Arraial Do Cabo,BR,71.15,light rain,-22.9661,-42.0278,Pousada Porto Praia
18,Vila Franca Do Campo,PT,67.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
23,Huntsville,US,62.11,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
24,Carnarvon,AU,72.21,clear sky,-24.8667,113.6333,Hospitality Carnarvon
30,Bambous Virieux,MU,74.21,few clouds,-20.3428,57.7575,Casa Tia Villa
32,Bafq,IR,71.53,clear sky,31.6128,55.4107,Alamdar Hotel
34,Albany,US,57.88,overcast clouds,42.6001,-73.9662,
39,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Port Alfred,ZA,57.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
43,Harlingen,US,78.71,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
45,Dhankuta,NP,73.08,few clouds,26.9833,87.3333,Hotel Kanjirowa
46,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Port Lincoln,AU,57.06,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
51,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
52,Marzuq,YE,75.99,overcast clouds,14.4,46.4667,حيد القفلة
57,Sitka,US,57.09,scattered clouds,57.0531,-135.33,Westmark Sitka
58,Puerto Ayora,EC,65.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Villa Enata
64,Camacupa,AO,61.66,broken clouds,-12.0167,17.4833,
69,Ahipara,NZ,56.5,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
72,Mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Saint George,US,78.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Barreirinhas,BR,77.81,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
