City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Harper,LR,4.375,-7.7169,75.51,89,98,5.7,light rain
1,Rikitea,PF,-23.1203,-134.9692,70.29,70,14,23.35,few clouds
2,Necochea,AR,-38.5473,-58.7368,46.6,84,1,5.14,clear sky
3,Coruripe,BR,-10.1256,-36.1756,74.41,88,13,8.34,few clouds
4,Ushuaia,AR,-54.8,-68.3,42.46,70,75,4.61,broken clouds
5,Sahawar,IN,27.8,78.85,72.5,93,100,9.55,overcast clouds
6,Port Augusta,AU,-32.5,137.7667,69.71,30,0,9.44,clear sky
7,Oxbow,CA,49.2333,-102.1676,33.44,47,0,4.94,clear sky
8,Busselton,AU,-33.65,115.3333,59.25,55,72,6.38,broken clouds
9,Castro,BR,-24.7911,-50.0119,62.64,97,100,9.01,light rain
10,Mayumba,GA,-3.432,10.6554,75.4,85,100,0.74,light rain
11,Upernavik,GL,72.7868,-56.1549,24.08,85,100,1.5,overcast clouds
12,Tromso,NO,69.6496,18.957,44.62,81,75,13.8,light intensity drizzle
13,Pevek,RU,69.7008,170.3133,27.21,80,100,29.86,overcast clouds
14,Hirara,JP,24.8,125.2833,82.26,78,75,14.97,broken clouds
15,Kapaa,US,22.0752,-159.319,80.58,71,20,11.5,few clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,71.15,94,98,26.78,light rain
17,Mataura,NZ,-46.1927,168.8643,54.48,38,4,1.9,clear sky
18,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,85,40,4.32,scattered clouds
19,Chara,RU,56.9064,118.2631,30.06,68,93,2.33,overcast clouds
20,Sindor,RU,62.8629,51.8905,42.37,92,100,9.93,overcast clouds
21,Ambagarh Chauki,IN,20.7833,80.7167,80.65,73,90,8.95,overcast clouds
22,Bluff,NZ,-46.6,168.3333,54.81,60,13,10.0,few clouds
23,Huntsville,US,34.7304,-86.5861,62.11,72,0,0.0,clear sky
24,Carnarvon,AU,-24.8667,113.6333,72.21,34,0,20.33,clear sky
