City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,2022-10-03 22:42:50,39.05,-27.9833,69.13,78,99,4.03
1,Kibala,TD,2022-10-03 22:42:50,9.1104,18.3463,73.04,93,98,1.23
2,Kapaa,US,2022-10-03 22:42:51,22.0752,-159.319,84.09,61,0,12.66
3,Rikitea,PF,2022-10-03 22:42:51,-23.1203,-134.9692,70.9,71,92,18.07
4,Marilandia,BR,2022-10-03 22:42:51,-19.4128,-40.5417,75.83,84,100,4.43
5,Itarema,BR,2022-10-03 22:42:52,-2.9248,-39.9167,78.17,78,44,14.88
6,Yulara,AU,2022-10-03 22:42:52,-25.2406,130.9889,62.94,67,64,6.69
7,Ushuaia,AR,2022-10-03 22:42:53,-54.8,-68.3,47.86,61,0,3.44
8,Punta Arenas,CL,2022-10-03 22:39:57,-53.15,-70.9167,44.71,81,75,8.05
9,Port Antonio,JM,2022-10-03 22:42:53,18.18,-76.4612,85.91,78,100,0.65
10,Langham,CA,2022-10-03 22:42:05,52.3668,-106.9679,70.02,32,61,6.29
11,East London,ZA,2022-10-03 22:42:54,-33.0153,27.9116,63.3,74,100,11.97
12,San Rafael Del Sur,NI,2022-10-03 22:42:54,11.8485,-86.4384,88.77,85,71,2.04
13,Bluff,NZ,2022-10-03 22:42:54,-46.6,168.3333,53.8,74,98,24.36
14,Kamaishi,JP,2022-10-03 22:42:55,39.2667,141.8833,70.86,80,92,11.12
15,Vaini,TO,2022-10-03 22:42:55,-21.2,-175.2,80.76,83,75,14.97
16,Hofn,IS,2022-10-03 22:42:56,64.2539,-15.2082,47.64,95,100,15.19
17,Port Alfred,ZA,2022-10-03 22:42:56,-33.5906,26.891,60.19,85,95,3.0
18,Arraial Do Cabo,BR,2022-10-03 22:42:56,-22.9661,-42.0278,68.41,85,90,6.02
19,Longyearbyen,SJ,2022-10-03 22:42:57,78.2186,15.6401,35.44,87,75,2.3
20,Avarua,CK,2022-10-03 22:42:57,-21.2078,-159.775,78.85,73,20,20.71
21,New Norfolk,AU,2022-10-03 22:42:57,-42.7826,147.0587,52.72,63,80,3.6
22,Butaritari,KI,2022-10-03 22:42:58,3.0707,172.7902,81.66,73,28,10.69
23,Port Elizabeth,ZA,2022-10-03 22:42:58,-33.918,25.5701,61.09,81,0,16.11
24,Kutum,SD,2022-10-03 22:42:59,14.2,24.6667,74.23,42,94,10.11
25,Oksfjord,NO,2022-10-03 22:42:59,70.2396,22.3479,44.78,81,100,6.6
26,Yakima,US,2022-10-03 22:42:59,46.4665,-120.6678,84.85,33,0,5.75
27,Ribeira Grande,PT,2022-10-03 22:43:00,38.5167,-28.7,70.11,81,99,3.76
28,Yucca Valley,US,2022-10-03 22:43:00,34.1142,-116.4322,89.91,29,18,5.99
29,Provideniya,RU,2022-10-03 22:43:00,64.3833,-173.3,39.36,87,0,8.99
30,Hualmay,PE,2022-10-03 22:43:01,-11.0964,-77.6139,63.64,80,19,9.95
31,Vila Do Maio,CV,2022-10-03 22:43:01,15.1333,-23.2167,79.59,79,99,15.26
32,Busselton,AU,2022-10-03 22:43:02,-33.65,115.3333,50.45,75,0,9.91
33,Hermanus,ZA,2022-10-03 22:43:02,-34.4187,19.2345,53.8,78,0,7.83
34,Luanda,AO,2022-10-03 22:40:41,-8.8368,13.2343,73.4,83,20,6.91
35,Nikolskoye,RU,2022-10-03 22:39:13,59.7035,30.7861,46.29,98,100,5.28
36,Albany,US,2022-10-03 22:38:17,42.6001,-73.9662,52.56,66,100,3.83
37,Olafsvik,IS,2022-10-03 22:43:03,64.8945,-23.7142,44.33,84,100,27.67
38,Chokurdakh,RU,2022-10-03 22:43:03,70.6333,147.9167,22.39,89,99,5.5
39,Tiksi,RU,2022-10-03 22:43:04,71.6872,128.8694,19.74,90,98,10.96
40,Pahrump,US,2022-10-03 22:42:24,36.2083,-115.9839,91.49,18,20,5.01
41,Qaanaaq,GL,2022-10-03 22:43:04,77.484,-69.3632,15.73,72,100,6.73
42,El Alto,PE,2022-10-03 22:43:05,-4.2714,-81.2147,67.66,82,85,17.6
43,Saskylakh,RU,2022-10-03 22:43:05,71.9167,114.0833,11.93,98,99,5.1
44,Arlit,NE,2022-10-03 22:43:05,18.7369,7.3853,93.18,12,1,7.96
45,Serik,TR,2022-10-03 22:44:06,36.9169,31.0989,74.75,59,1,3.44
46,Rovaniemi,FI,2022-10-03 22:44:07,66.5,25.7167,44.01,100,100,3.44
47,Bac Lieu,VN,2022-10-03 22:44:07,9.285,105.7244,78.1,89,100,6.93
48,Mataura,NZ,2022-10-03 22:44:07,-46.1927,168.8643,53.47,49,100,10.4
49,Yaan,NG,2022-10-03 22:44:08,7.3833,8.5667,73.63,89,61,4.29
50,Hasaki,JP,2022-10-03 22:44:08,35.7333,140.8333,78.22,69,67,18.95
51,Matagami,CA,2022-10-03 22:44:08,49.7502,-77.6328,64.51,48,0,8.05
52,Coquimbo,CL,2022-10-03 22:43:17,-29.9533,-71.3436,56.93,76,75,9.22
53,Atuona,PF,2022-10-03 22:44:09,-9.8,-139.0333,76.66,72,13,17.63
54,Bredasdorp,ZA,2022-10-03 22:44:09,-34.5322,20.0403,50.59,87,0,6.51
